//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
407.08;166.76;28.28;0.15;0.581263;-0.119196;0.804939
406.95;166.45;28.27;0.20;0.562931;-0.176576;0.807421
407.15;167.74;28.55;0.08;0.718884;-0.248054;0.649365
407.01;167.43;28.51;0.08;0.742135;-0.209161;0.636779
404.80;162.92;31.75;0.14;0.442308;-0.212963;0.871212
404.73;165.20;31.96;0.23;0.325650;-0.069315;0.942946
405.15;167.02;31.97;0.06;0.419950;0.077971;0.904192
405.46;173.76;30.93;0.24;0.499545;0.145029;0.854061
405.63;175.56;30.59;0.20;0.529236;0.152693;0.834622
405.79;176.36;30.38;0.08;0.591658;0.106645;0.799104
405.60;175.86;30.52;0.22;0.534800;0.152588;0.831087
405.57;177.51;30.29;0.20;0.489798;0.157382;0.857513
405.56;177.82;30.21;0.24;0.457726;0.168174;0.873043
405.55;178.42;30.10;0.11;0.445754;0.226629;0.865993
407.23;186.94;21.95;0.25;0.617039;0.361713;0.698875
394.24;150.72;40.50;0.11;0.009698;-0.635920;0.771694
406.94;189.03;21.15;0.23;0.815686;0.286508;0.502563
405.15;186.97;26.92;0.13;0.474619;0.305448;0.825493
392.46;151.11;42.49;0.19;0.977133;0.207926;0.044470
392.21;151.97;42.84;0.13;0.967524;0.245305;0.061015
396.21;164.68;42.77;0.19;0.498575;0.009407;0.866795
396.90;167.83;42.49;0.07;0.614738;0.434815;0.658053
395.82;165.29;43.08;0.19;0.504968;0.110776;0.856000
395.45;164.77;43.40;0.17;0.666205;0.293773;0.685469
395.87;167.17;43.41;0.07;0.127209;-0.295928;0.946702
395.07;164.83;43.73;0.17;0.677595;0.341247;0.651471
394.86;165.41;44.18;0.08;0.544707;0.454756;0.704621
395.42;168.39;43.95;0.14;0.473616;0.131000;0.870935
395.04;168.73;44.08;0.14;0.478641;0.146939;0.865628
390.97;156.71;45.82;0.18;0.977705;0.122990;0.170198
399.53;186.16;35.87;0.19;0.899874;0.220945;0.376045
392.10;162.13;46.20;0.10;0.712958;0.130036;0.689044
392.09;162.94;46.16;0.12;0.507186;-0.054192;0.860131
390.89;182.00;46.00;0.24;0.414342;0.443362;0.794827
393.25;192.31;39.89;0.19;0.774730;0.035151;0.631314
393.98;193.97;38.25;0.12;0.725193;0.227112;0.650011
395.44;179.00;42.79;0.17;0.869903;-0.134164;0.474624
395.76;179.54;42.37;0.15;0.768450;-0.198657;0.608292
396.22;179.88;41.95;0.09;0.578744;0.081857;0.811391
396.10;179.40;42.06;0.16;0.509147;0.042774;0.859616
396.34;179.59;42.00;0.16;0.407664;0.155914;0.899723
396.13;178.79;42.13;0.21;0.246960;0.149233;0.957466
395.38;169.06;43.69;0.23;0.680107;0.337607;0.650750
395.58;168.79;43.77;0.13;0.656816;0.370385;0.656816
394.61;165.07;44.15;0.20;0.675974;0.455657;0.579168
392.04;152.57;43.46;0.18;0.972756;0.207103;0.104179
400.08;183.86;36.11;0.24;0.852258;0.245462;0.461957
393.84;151.95;41.55;0.10;-0.293555;-0.646462;0.704211
404.36;191.87;24.59;0.05;0.397316;0.528120;0.750486
403.80;187.70;28.84;0.13;0.294195;0.394801;0.870391
404.02;187.54;28.71;0.17;0.457939;0.368585;0.808973
404.21;187.00;28.71;0.09;0.773881;0.155380;0.613976
404.18;186.00;29.19;0.22;0.890401;0.172289;0.421311
404.23;186.17;28.85;0.13;0.906469;0.154625;0.392945
404.04;184.91;29.80;0.18;0.756146;0.120330;0.643244
